work_id,recommendation_id,house,tenure,mp_id,mp_name,work_name,category,sub_category,state,district,constituency,block,village,latitude,longitude,recommended_amount,sanctioned_amount,expenditure_amount,remaining_amount,recommendation_date,sanction_date,start_date,expected_completion_date,actual_completion_date,status,progress_percentage,implementing_agency_id,implementing_agency_name,document_count,photo_count,has_completion_certificate,source_type
MPL-2024-UP-004821,REC-2023-9901,Lok Sabha,17th Lok Sabha (2023-24),MP-LS-17-084,Shri Ramakant Sharma (Hon'ble MP),"Construction of CC Road and Paver Works from Main Chowk to Panchayat Bhawan, Village Rampur",Rural Roads & Bridges,CC Road Construction,Uttar Pradesh,Varanasi,Varanasi,Kashi Vidyapeeth,Rampur,25.321,82.9765,4800000.0,4800000.0,4200000.0,600000.0,2023-08-10,2023-10-25,2023-11-15,2024-05-30,,Ongoing,45.0,AGY-XYZ-99,XYZ Infrastructure & Construction Private Ltd,2,1,False,PUBLIC DATA
MPL-2024-UP-004822,REC-2023-9902,Lok Sabha,17th Lok Sabha (2023-24),MP-LS-17-084,Shri Ramakant Sharma (Hon'ble MP),"Construction of Concrete CC Road from Main Chowk to Gram Panchayat Bhawan, Rampur",Rural Roads & Bridges,CC Road Construction,Uttar Pradesh,Varanasi,Varanasi,Kashi Vidyapeeth,Rampur,25.3235,82.978,4650000.0,4650000.0,3900000.0,750000.0,2023-09-05,2023-11-10,2023-12-01,2024-06-15,,Ongoing,40.0,AGY-XYZ-99,XYZ Infrastructure & Construction Private Ltd,2,1,False,PUBLIC DATA
MPL-2024-MH-001890,REC-2023-7741,Lok Sabha,17th Lok Sabha (2023-24),MP-LS-17-042,Shri Naresh Rao (Hon'ble MP),"Construction of Senior Citizen Recreation Shed at Khadavali, Block Kalyan",Community Infrastructure,Senior Citizen Recreation Shed,Maharashtra,Thane,Thane,Kalyan,Khadavali,19.2941,73.1902,1800000.0,1800000.0,1800000.0,0.0,2023-05-12,2023-06-20,2023-07-05,2024-01-30,2024-02-15,Completed,100.0,AGY-ZP-03,Zila Parishad Rural Infrastructure Cell,2,2,False,PUBLIC DATA
MPL-2024-BR-003310,REC-2023-5512,Lok Sabha,17th Lok Sabha (2023-24),MP-LS-17-019,Dr. Ravi Shankar Sinha (Hon'ble MP),"Installation of Deep Borewell & Solar Pump System at Ranipur, Block Phulwari Sharif",Drinking Water,Deep Borewell & Solar Pump System,Bihar,Patna,Patna Sahib,Phulwari Sharif,Ranipur,25.5612,85.0819,1500000.0,1500000.0,1250000.0,250000.0,2023-04-18,2023-05-30,2023-06-15,2023-11-30,,Delayed,55.0,AGY-WSS-05,Public Health Engineering & Water Supply Dept,1,0,False,PUBLIC DATA
MPL-2024-KE-000005,REC-2023-0005,Lok Sabha,18th Lok Sabha (2024-Present),MP-LO-17-78,Shri Hibi Eden (Hon'ble MP),"Piped Water Overhead Tank at Cherai, Block Aluva",Drinking Water,Piped Water Overhead Tank,Kerala,Ernakulam,Ernakulam,Aluva,Cherai,9.9027,76.3108,1350000.0,1350000.0,724000.0,626000.0,2023-08-28,2023-10-01,2023-10-15,2024-04-01,,Delayed,59.6,AGY-ZP-03,Zila Parishad Rural Infrastructure Cell,1,2,False,PUBLIC DATA
MPL-2024-RA-000006,REC-2023-0006,Lok Sabha,17th Lok Sabha (2023-24),MP-LO-17-76,Smt. Manju Meena (Hon'ble MP),"Public Bus Passenger Shelter at Bassi, Block Kotputli",Community Infrastructure,Public Bus Passenger Shelter,Rajasthan,Jaipur,Jaipur Rural,Kotputli,Bassi,26.8764,75.763,2430000.0,2430000.0,2430000.0,0.0,2023-08-08,2023-10-03,2023-10-29,2024-03-12,2024-03-06,Completed,100.0,AGY-WSS-05,Public Health Engineering & Water Supply Dept,3,2,False,PUBLIC DATA
MPL-2024-UT-000007,REC-2023-0007,Lok Sabha,18th Lok Sabha (2024-Present),MP-LO-17-21,Shri Ramakant Sharma (Hon'ble MP),"Village Waste Segregation Shed at Harahua, Block Kashi Vidyapeeth",Health & Sanitation,Village Waste Segregation Shed,Uttar Pradesh,Varanasi,Varanasi,Kashi Vidyapeeth,Harahua,25.3415,83.0248,2000000.0,2000000.0,596000.0,1404000.0,2023-10-21,2023-11-30,2023-12-25,2024-06-22,,Delayed,33.1,AGY-XYZ-99,XYZ Infrastructure & Construction Private Ltd,1,0,False,PUBLIC DATA
MPL-2024-WE-000008,REC-2023-0008,Lok Sabha,17th Lok Sabha (2023-24),MP-LO-17-20,Smt. Mahua Mitra (Hon'ble MP),"Deep Borewell & Solar Pump System at Bethuadahari, Block Nakashipara",Drinking Water,Deep Borewell & Solar Pump System,West Bengal,Nadia,Krishnanagar,Nakashipara,Bethuadahari,23.3514,88.4531,800000.0,800000.0,800000.0,0.0,2023-11-05,2023-12-24,2024-01-08,2024-06-23,2024-07-10,Completed,100.0,AGY-PWD-01,Public Works Department (PWD) Division I,2,2,True,PUBLIC DATA
MPL-2024-BI-000009,REC-2023-0009,Lok Sabha,17th Lok Sabha (2023-24),MP-LO-17-73,Dr. Ravi Shankar Sinha (Hon'ble MP),"Health Diagnostic Equipment at Sabbalpur, Block Danapur",Health & Sanitation,Health Diagnostic Equipment,Bihar,Patna,Patna Sahib,Danapur,Sabbalpur,25.5513,85.1678,1060000.0,1060000.0,598000.0,462000.0,2023-08-11,2023-10-10,2023-10-24,2024-04-02,,Ongoing,56.8,AGY-ZP-03,Zila Parishad Rural Infrastructure Cell,1,3,False,PUBLIC DATA
MPL-2024-WE-000010,REC-2023-0010,Lok Sabha,18th Lok Sabha (2024-Present),MP-LO-17-57,Smt. Mahua Mitra (Hon'ble MP),"Primary Health Sub-Centre Building at Debagram, Block Krishnanagar-I",Health & Sanitation,Primary Health Sub-Centre Building,West Bengal,Nadia,Krishnanagar,Krishnanagar-I,Debagram,23.3337,88.4839,1410000.0,1410000.0,665000.0,745000.0,2023-11-05,2023-12-23,2024-01-17,2024-08-31,,Delayed,52.4,AGY-DRDA-04,District Rural Development Agency (DRDA),2,0,False,PUBLIC DATA
MPL-2024-BI-000011,REC-2023-0011,Lok Sabha,17th Lok Sabha (2023-24),MP-LO-17-40,Dr. Ravi Shankar Sinha (Hon'ble MP),"Health Diagnostic Equipment at Jethuli, Block Danapur",Health & Sanitation,Health Diagnostic Equipment,Bihar,Patna,Patna Sahib,Danapur,Jethuli,25.6577,85.1011,2030000.0,2030000.0,729000.0,1301000.0,2024-02-18,2024-04-18,2024-04-29,2024-10-02,,Ongoing,37.2,AGY-RWD-02,Rural Works Department (RWD) Engineering Wing,1,4,False,PUBLIC DATA
MPL-2024-UT-000012,REC-2023-0012,Lok Sabha,17th Lok Sabha (2023-24),MP-LO-17-50,Shri Ramakant Sharma (Hon'ble MP),"Community Public Toilet Complex at Babatpur, Block Kashi Vidyapeeth",Health & Sanitation,Community Public Toilet Complex,Uttar Pradesh,Varanasi,Varanasi,Kashi Vidyapeeth,Babatpur,25.3551,82.912,2430000.0,2430000.0,365000.0,2065000.0,2023-09-21,2023-11-15,2023-12-15,2024-05-06,,Delayed,16.7,AGY-WSS-05,Public Health Engineering & Water Supply Dept,2,1,False,PUBLIC DATA
MPL-2024-UT-000013,REC-2023-0013,Rajya Sabha,17th Lok Sabha (2023-24),MP-RA-17-78,Shri Ramakant Sharma (Hon'ble MP),"Primary Health Sub-Centre Building at Tikari, Block Arajiline",Health & Sanitation,Primary Health Sub-Centre Building,Uttar Pradesh,Varanasi,Varanasi,Arajiline,Tikari,25.336,83.0198,1450000.0,1450000.0,1450000.0,0.0,2023-05-31,2023-07-19,2023-07-29,2023-12-02,2023-12-09,Completed,100.0,AGY-RWD-02,Rural Works Department (RWD) Engineering Wing,4,3,True,PUBLIC DATA
MPL-2024-KE-000014,REC-2023-0014,Lok Sabha,17th Lok Sabha (2023-24),MP-LO-17-14,Shri Hibi Eden (Hon'ble MP),"Rooftop Solar for Govt Hospital at Edappally, Block Aluva",Solar & Renewable Energy,Rooftop Solar for Govt Hospital,Kerala,Ernakulam,Ernakulam,Aluva,Edappally,10.0074,76.2325,1140000.0,1140000.0,723000.0,417000.0,2024-03-20,2024-05-07,2024-05-23,2024-12-12,,Ongoing,59.8,AGY-PWD-01,Public Works Department (PWD) Division I,1,1,False,PUBLIC DATA
MPL-2024-UT-000015,REC-2023-0015,Lok Sabha,17th Lok Sabha (2023-24),MP-LO-17-66,Shri Ramakant Sharma (Hon'ble MP),"Community Public Toilet Complex at Chhatar, Block Pindra",Health & Sanitation,Community Public Toilet Complex,Uttar Pradesh,Varanasi,Varanasi,Pindra,Chhatar,25.3166,82.9937,1370000.0,1370000.0,906000.0,464000.0,2023-11-19,2023-12-07,2023-12-30,2024-05-28,,Ongoing,77.6,AGY-ZP-03,Zila Parishad Rural Infrastructure Cell,1,3,False,PUBLIC DATA
MPL-2024-RA-000016,REC-2023-0016,Lok Sabha,17th Lok Sabha (2023-24),MP-LO-17-84,Smt. Manju Meena (Hon'ble MP),"Panchayat Community Hall at Kukas, Block Kotputli",Community Infrastructure,Panchayat Community Hall,Rajasthan,Jaipur,Jaipur Rural,Kotputli,Kukas,26.9452,75.7822,3070000.0,3070000.0,3070000.0,0.0,2023-08-29,2023-09-20,2023-10-17,2024-04-06,2024-03-18,Completed,100.0,AGY-ZP-03,Zila Parishad Rural Infrastructure Cell,2,5,False,PUBLIC DATA
MPL-2024-WE-000017,REC-2023-0017,Lok Sabha,17th Lok Sabha (2023-24),MP-LO-17-34,Smt. Mahua Mitra (Hon'ble MP),"Public Bus Passenger Shelter at Tehatta, Block Nakashipara",Community Infrastructure,Public Bus Passenger Shelter,West Bengal,Nadia,Krishnanagar,Nakashipara,Tehatta,23.4203,88.4559,2710000.0,2710000.0,878000.0,1832000.0,2024-02-05,2024-03-25,2024-04-12,2024-08-19,,Delayed,36.0,AGY-DRDA-04,District Rural Development Agency (DRDA),2,2,False,PUBLIC DATA
MPL-2024-KE-000018,REC-2023-0018,Lok Sabha,18th Lok Sabha (2024-Present),MP-LO-17-46,Shri Hibi Eden (Hon'ble MP),"CC Road Construction at Cherai, Block Aluva",Rural Roads & Bridges,CC Road Construction,Kerala,Ernakulam,Ernakulam,Aluva,Cherai,9.9117,76.3593,2410000.0,2410000.0,2410000.0,0.0,2023-09-20,2023-11-05,2023-11-29,2024-06-27,2024-07-12,Completed,100.0,AGY-RWD-02,Rural Works Department (RWD) Engineering Wing,3,2,True,PUBLIC DATA
MPL-2024-BI-000019,REC-2023-0019,Lok Sabha,18th Lok Sabha (2024-Present),MP-LO-17-34,Dr. Ravi Shankar Sinha (Hon'ble MP),"Public Bus Passenger Shelter at Baikatpur, Block Fatuha",Community Infrastructure,Public Bus Passenger Shelter,Bihar,Patna,Patna Sahib,Fatuha,Baikatpur,25.657,85.1914,1020000.0,1020000.0,1020000.0,0.0,2024-02-12,2024-03-21,2024-04-17,2024-08-15,2024-09-15,Completed,100.0,AGY-PWD-01,Public Works Department (PWD) Division I,4,6,True,PUBLIC DATA
MPL-2024-AS-000020,REC-2023-0020,Lok Sabha,18th Lok Sabha (2024-Present),MP-LO-17-76,Smt. Queen Oja (Hon'ble MP),"Solar Street Light Grid (50 poles) at Dadara, Block Kamalpur",Solar & Renewable Energy,Solar Street Light Grid (50 poles),Assam,Kamrup,Gauhati,Kamalpur,Dadara,26.0668,91.6581,490000.0,490000.0,232000.0,258000.0,2023-10-25,2023-11-12,2023-11-27,2024-05-13,,Ongoing,50.1,AGY-ZP-03,Zila Parishad Rural Infrastructure Cell,2,4,False,PUBLIC DATA
MPL-2024-WE-000021,REC-2023-0021,Lok Sabha,17th Lok Sabha (2023-24),MP-LO-17-33,Smt. Mahua Mitra (Hon'ble MP),"RO Water Treatment Plant at Mayapur, Block Krishnanagar-I",Drinking Water,RO Water Treatment Plant,West Bengal,Nadia,Krishnanagar,Krishnanagar-I,Mayapur,23.4442,88.4873,1470000.0,1470000.0,717000.0,753000.0,2023-05-24,2023-07-15,2023-07-31,2023-11-30,,Delayed,54.2,AGY-PWD-01,Public Works Department (PWD) Division I,1,0,False,PUBLIC DATA
MPL-2024-BI-000022,REC-2023-0022,Lok Sabha,17th Lok Sabha (2023-24),MP-LO-17-19,Dr. Ravi Shankar Sinha (Hon'ble MP),"Solar Street Light Grid (50 poles) at Jethuli, Block Sampatchak",Solar & Renewable Energy,Solar Street Light Grid (50 poles),Bihar,Patna,Patna Sahib,Sampatchak,Jethuli,25.6034,85.0793,640000.0,640000.0,165000.0,475000.0,2023-06-05,2023-07-27,2023-08-06,2024-01-27,,Ongoing,27.7,AGY-PWD-01,Public Works Department (PWD) Division I,1,3,False,PUBLIC DATA
MPL-2024-AS-000023,REC-2023-0023,Lok Sabha,18th Lok Sabha (2024-Present),MP-LO-17-87,Smt. Queen Oja (Hon'ble MP),"Primary Health Sub-Centre Building at Puthimari, Block Kamalpur",Health & Sanitation,Primary Health Sub-Centre Building,Assam,Kamrup,Gauhati,Kamalpur,Puthimari,26.0946,91.8114,1570000.0,1570000.0,714000.0,856000.0,2024-02-29,2024-03-31,2024-04-19,2024-12-15,,Ongoing,50.4,AGY-ZP-03,Zila Parishad Rural Infrastructure Cell,1,3,False,PUBLIC DATA
MPL-2024-BI-000024,REC-2023-0024,Lok Sabha,17th Lok Sabha (2023-24),MP-LO-17-62,Dr. Ravi Shankar Sinha (Hon'ble MP),"High-Mast Solar Lighting Chowk at Gauri Chak, Block Sampatchak",Solar & Renewable Energy,High-Mast Solar Lighting Chowk,Bihar,Patna,Patna Sahib,Sampatchak,Gauri Chak,25.5362,85.1949,1320000.0,1320000.0,394000.0,926000.0,2023-06-21,2023-07-23,2023-08-09,2024-03-12,,Ongoing,33.4,AGY-DRDA-04,District Rural Development Agency (DRDA),1,1,False,PUBLIC DATA
